id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_living15,sqft_lot15
6414100192,538000.0,3,2.25,2570,7242,2.0,NO,Average,7 Average,2170,1690,7639
5631500400,180000.0,2,1.0,770,10000,1.0,NO,Average,6 Low Average,770,2720,8062
2487200875,604000.0,4,3.0,1960,5000,1.0,NO,Very Good,7 Average,1050,1360,5000
1954400510,510000.0,3,2.0,1680,8080,1.0,NO,Average,8 Good,1680,1800,7503
7237550310,1230000.0,4,4.5,5420,101930,1.0,NO,Average,11 Excellent,3890,4760,101930
1321400060,257500.0,3,2.25,1715,6819,2.0,NO,Average,7 Average,1715,2238,6819
2008000270,291850.0,3,1.5,1060,9711,1.0,NO,Average,7 Average,1060,1650,9711
2414600126,229500.0,3,1.0,1780,7470,1.0,NO,Average,7 Average,1050,1780,8113
3793500160,323000.0,3,2.5,1890,6560,2.0,NO,Average,7 Average,1890,2390,7570
9212900260,468000.0,2,1.0,1160,6000,1.0,NO,Good,7 Average,860,1330,6000
114101516,310000.0,3,1.0,1430,19901,1.5,NO,Good,7 Average,1430,1780,12697
6054650070,400000.0,3,1.75,1370,9680,1.0,NO,Good,7 Average,1370,1370,10208
1175000570,530000.0,5,2.0,1810,4850,1.5,NO,Average,7 Average,1810,1360,4850
9297300055,650000.0,4,3.0,2950,5000,2.0,NO,Average,9 Better,1980,2140,4000
1875500060,395000.0,3,2.0,1890,14040,2.0,NO,Average,7 Average,1890,1890,14018
6865200140,485000.0,4,1.0,1600,4300,1.5,NO,Good,7 Average,1600,1610,4300
16000397,189000.0,2,1.0,1200,9850,1.0,NO,Good,7 Average,1200,1060,5095
7983200060,230000.0,3,1.0,1250,9774,1.0,NO,Good,7 Average,1250,1280,8850
6300500875,385000.0,4,1.75,1620,4980,1.0,NO,Good,7 Average,860,1400,4980
2524049179,2000000.0,3,2.75,3050,44867,1.0,NO,Average,9 Better,2330,4110,20336
7137970340,285000.0,5,2.5,2270,6300,2.0,NO,Average,8 Good,2270,2240,7005
3814700200,329000.0,3,2.25,2450,6500,2.0,NO,Good,8 Good,2450,2200,6865
1202000200,233000.0,3,2.0,1710,4697,1.5,NO,Very Good,6 Low Average,1710,1030,4705
1794500383,937000.0,3,1.75,2450,2691,2.0,NO,Average,8 Good,1750,1760,3573
